10
testcase10 295
189 104
0 E 0
0 F 12
0 G 24
1 E 0
1 F 12
1 G 22
2 D 0
2 E 13
2 F 25
2 G 34
3 E 0
3 F 10
3 G 23
4 E 0
4 D 12
4 C 19
4 B 25
5 F 0
5 E 13
5 D 24
5 C 32
5 B 41
6 F 1
6 E 6
6 D 13
6 C 19
6 B 26
7 A 13
7 B 16
7 C 23
7 D 37
7 E 42
7 F 48
7 G 59
8 A 21
8 B 24
8 C 31
8 D 40
8 E 46
8 F 52
8 G 57
9 A 20
9 B 31
9 C 44
9 D 49
9 E 61
9 F 67
9 G 73
10 A 22
10 B 27
10 C 32
10 D 41
10 E 52
10 F 64
10 G 74
11 A 28
11 B 32
11 C 46
11 D 56
11 E 64
11 F 71
11 G 80
12 A 37
12 B 45
12 C 53
12 D 62
12 E 73
12 F 84
12 G 89
13 A 24
13 B 28
13 C 33
13 D 42
13 E 49
13 F 54
13 G 64
14 A 36
14 B 42
14 C 55
14 D 60
14 E 72
14 F 84
14 G 93
15 A 65
15 B 76
15 C 82
15 D 90
15 E 104
15 F 108
16 A 63
16 B 69
16 C 80
16 D 90
16 E 104
16 F 109
16 G 114
17 A 59
17 B 71
17 C 85
17 D 97
17 E 110
17 F 114
18 A 95
18 B 101
18 C 108
18 D 115
19 A 72
19 B 79
19 C 92
19 D 105
19 E 116
20 A 76
20 B 88
20 C 95
20 D 109
21 A 99
21 B 105
21 C 114
22 H 19
22 G 29
22 F 39
22 E 45
22 D 51
22 C 56
22 B 64
23 H 9
23 G 16
23 F 21
23 E 31
23 D 37
23 C 49
23 B 59
24 H 37
24 G 48
24 F 53
24 E 65
24 D 79
24 C 86
24 B 93
25 H 30
25 G 37
25 F 42
25 E 50
25 D 56
25 C 63
25 B 73
26 H 29
26 G 41
26 F 46
26 E 58
26 D 65
26 C 75
26 B 80
27 H 68
27 G 78
27 F 88
27 E 93
27 D 107
27 C 117
28 H 66
28 G 73
28 F 82
28 E 90
28 D 100
28 C 105
28 B 116
29 H 84
29 G 90
29 F 103
29 E 114
30 H 82
30 G 88
30 F 100
30 E 111
31 H 74
31 G 80
31 F 87
31 E 94
31 D 107
31 C 114
32 H 73
32 G 81
32 F 93
32 E 102
32 D 116
33 H 105
33 G 110
33 F 117
34 H 108
A B 7 6 B
A B 9 4 B
A B 8 -1 -1
A B 10 -1 -1
A B 13 23 B
A B 11 5 B
A B 14 -1 -1
A B 12 22 B
A B 17 25 B
A B 16 24 B
A B 15 26 B
A B 19 -1 -1
A B 20 -1 -1
A B 18 28 B
A B 21 -1 -1
B C 7 5 C
B C 8 4 B
B C 10 6 B
B C 13 22 C
B C 9 23 C
B C 11 -1 -1
B C 14 26 C
B C 12 25 C
B C 16 24 C
B C 17 -1 -1
B C 15 -1 -1
B C 19 28 C
B C 20 31 C
B C 18 27 C
B C 21 -1 -1
C D 7 4 C
C D 8 6 C
C D 10 23 D
C D 13 5 C
C D 9 22 D
C D 11 25 D
C D 12 26 D
C D 14 24 D
C D 16 28 D
C D 15 31 D
C D 17 -1 -1
C D 19 27 D
C D 20 32 D
C D 18 -1 -1
C D 21 -1 -1
D E 2 6 E
D E 7 5 D
D E 8 4 D
D E 10 23 D
D E 13 25 E
D E 9 26 E
D E 11 22 D
D E 14 24 E
D E 12 27 E
D E 15 32 E
D E 16 30 E
D E 17 28 D
D E 19 31 D
D E 20 29 E
D E 18 -1 -1
E F 0 22 F
E F 1 26 F
E F 3 23 F
E F 2 5 E
E F 7 6 E
E F 8 25 E
E F 13 24 F
E F 10 29 F
E F 9 31 F
E F 11 28 F
E F 14 27 F
E F 12 32 F
E F 15 30 E
E F 16 33 F
E F 17 -1 -1
E F 19 -1 -1
F G 3 23 G
F G 0 25 G
F G 1 22 G
F G 2 26 G
F G 7 28 G
F G 8 27 G
F G 13 24 F
F G 10 31 G
F G 9 32 G
F G 11 30 G
F G 12 33 G
F G 14 29 G
F G 15 -1 -1
F G 16 -1 -1
F G 17 -1 -1
G H 1 23 G
G H 3 25 H
G H 0 22 G
G H 2 26 G
G H 8 24 G
G H 7 28 H
G H 13 32 H
G H 9 27 G
G H 10 30 H
G H 11 31 G
G H 12 29 G
G H 14 33 H
G H 16 34 G
2495
testcase11 393
250 141
0 C 0
0 D 11
0 E 24
0 F 31
0 G 42
1 G 2
2 C 1
2 D 7
2 E 12
2 F 18
2 G 27
3 B 0
3 C 5
3 D 11
3 E 18
3 F 30
3 G 36
4 D 1
4 C 13
4 B 27
5 E 2
5 D 14
5 C 23
5 B 29
6 B 2
7 D 3
7 C 6
7 B 15
8 H 0
8 G 5
8 F 10
8 E 20
8 D 26
8 C 30
8 B 38
9 A 22
9 B 33
9 C 46
9 D 53
9 E 58
9 F 64
9 G 77
10 A 18
10 B 24
10 C 32
10 D 38
10 E 45
10 F 52
10 G 64
11 A 15
11 B 23
11 C 28
11 D 35
11 E 41
11 F 47
11 G 58
12 A 32
12 B 38
12 C 46
12 D 49
12 E 60
12 F 68
12 G 82
13 A 43
13 B 52
13 C 60
13 D 64
13 E 74
13 F 80
13 G 92
14 A 40
14 B 49
14 C 61
14 D 71
14 E 77
14 F 80
14 G 87
15 A 31
15 B 40
15 C 46
15 D 50
15 E 58
15 F 65
15 G 77
16 A 59
16 B 69
16 C 77
16 D 82
16 E 89
16 F 100
16 G 110
17 A 58
17 B 64
17 C 73
17 D 78
17 E 83
17 F 95
17 G 105
18 A 57
18 B 64
18 C 71
18 D 82
18 E 87
18 F 91
18 G 103
19 A 63
19 B 69
19 C 76
19 D 79
19 E 83
19 F 89
19 G 97
20 A 94
20 B 104
20 C 109
20 D 114
21 A 84
21 B 92
21 C 103
21 D 106
21 E 114
21 F 118
22 A 94
22 B 106
22 C 119
23 A 99
23 B 105
23 C 117
24 H 22
24 G 28
24 F 37
24 E 45
24 D 50
24 C 58
24 B 71
25 H 23
25 G 26
25 F 33
25 E 38
25 D 44
25 C 49
25 B 62
26 H 2
26 G 13
26 F 23
26 E 33
26 D 39
26 C 44
26 B 53
27 H 20
27 G 25
27 F 30
27 E 33
27 D 42
27 C 47
27 B 60
28 H 38
28 G 46
28 F 58
28 E 63
28 D 75
28 C 79
28 B 93
29 H 27
29 G 38
29 F 51
29 E 57
29 D 61
29 C 64
29 B 77
30 H 37
30 G 44
30 F 55
30 E 59
30 D 67
30 C 73
30 B 78
31 H 36
31 G 47
31 F 57
31 E 68
31 D 72
31 C 82
31 B 87
32 H 32
32 G 44
32 F 49
32 E 61
32 D 69
32 C 80
32 B 87
33 H 49
33 G 53
33 F 61
33 E 69
33 D 75
33 C 81
33 B 95
34 H 59
34 G 67
34 F 79
34 E 91
34 D 96
34 C 104
34 B 109
35 H 49
35 G 60
35 F 68
35 E 76
35 D 86
35 C 89
35 B 98
36 H 61
36 G 71
36 F 82
36 E 91
36 D 104
36 C 114
37 H 88
37 G 94
37 F 106
37 E 109
38 H 76
38 G 87
38 F 95
38 E 103
38 D 109
39 H 83
39 G 90
39 F 102
39 E 109
39 D 116
40 H 86
40 G 95
40 F 108
40 E 119
41 H 82
41 G 92
41 F 100
41 E 104
41 D 113
41 C 119
42 H 89
42 G 96
42 F 104
42 E 110
42 D 115
43 H 101
43 G 106
43 F 118
A B 11 6 A
A B 10 7 A
A B 9 4 B
A B 15 8 B
A B 12 5 A
A B 14 26 B
A B 13 27 B
A B 18 25 B
A B 17 24 B
A B 16 30 B
A B 19 29 B
A B 21 32 B
A B 20 35 B
A B 22 31 A
A B 23 28 A
B A 33 -1 -1
B A 34 -1 -1
B C 3 7 C
B C 11 4 B
B C 10 8 C
B C 9 5 B
B C 12 27 C
B C 15 25 C
B C 14 26 B
B C 13 24 C
B C 17 30 C
B C 18 28 C
B C 16 32 C
B C 19 29 B
B C 21 33 B
B C 20 35 B
B C 23 31 B
B C 22 36 C
C B 34 -1 -1
C B 41 -1 -1
C D 0 7 D
C D 2 5 D
C D 3 4 C
C D 11 25 D
C D 10 8 C
C D 15 27 C
C D 12 24 D
C D 9 26 C
C D 13 30 D
C D 14 28 D
C D 18 29 C
C D 17 32 C
C D 19 31 C
C D 16 35 D
C D 21 33 C
C D 20 34 C
C D 23 36 C
C D 22 -1 -1
D C 38 -1 -1
D C 41 -1 -1
D C 42 -1 -1
D C 39 -1 -1
D E 2 5 D
D E 0 26 E
D E 3 8 E
D E 11 24 E
D E 10 27 D
D E 12 25 D
D E 15 29 E
D E 9 32 E
D E 13 30 D
D E 14 28 D
D E 17 31 D
D E 19 33 D
D E 16 35 D
D E 18 36 E
D E 21 34 D
D E 20 42 D
E D 38 -1 -1
E D 41 -1 -1
E D 37 -1 -1
E D 39 -1 -1
E D 40 -1 -1
E F 2 26 F
E F 3 8 E
E F 0 27 F
E F 11 25 E
E F 10 24 E
E F 9 32 E
E F 15 29 E
E F 12 30 E
E F 13 28 E
E F 14 33 E
E F 17 31 E
E F 19 35 E
E F 18 34 E
E F 16 36 E
E F 21 42 E
F E 38 -1 -1
F E 41 -1 -1
F E 39 -1 -1
F E 37 -1 -1
F E 40 -1 -1
F E 43 -1 -1
F G 2 8 F
F G 3 27 F
F G 0 25 F
F G 11 24 F
F G 10 30 F
F G 9 28 F
F G 15 31 F
F G 12 32 F
F G 13 29 F
F G 14 26 F
F G 19 36 F
F G 18 34 F
F G 17 38 F
F G 16 39 F
F G 21 40 F
G F 33 -1 -1
G F 35 -1 -1
G F 41 -1 -1
G F 37 -1 -1
G F 42 -1 -1
G F 43 -1 -1
G H 1 27 H
G H 2 24 G
G H 3 25 G
G H 0 8 G
G H 11 28 G
G H 10 33 G
G H 9 30 G
G H 15 34 G
G H 12 31 G
G H 14 36 G
G H 13 38 G
G H 19 39 G
G H 18 40 G
G H 17 37 G
G H 16 42 G
H G 26 -1 -1
H G 29 -1 -1
H G 32 -1 -1
H G 35 -1 -1
H G 41 -1 -1
H G 43 -1 -1
2594
testcase12 364
233 129
0 F 2
0 G 15
1 C 0
1 D 4
1 E 17
1 F 28
1 G 33
2 G 4
3 F 3
3 G 10
4 E 0
4 F 5
4 G 13
5 G 2
6 A 0
6 B 8
6 C 18
6 D 21
6 E 30
6 F 34
6 G 43
7 B 2
7 C 15
7 D 25
7 E 32
7 F 40
7 G 49
8 B 0
8 C 13
8 D 18
8 E 24
8 F 34
8 G 39
9 B 0
10 E 3
10 D 8
10 C 16
10 B 30
11 D 0
11 C 12
11 B 20
12 E 2
12 D 7
12 C 17
12 B 29
13 D 0
13 C 3
13 B 13
14 D 0
14 C 9
14 B 21
15 G 1
15 F 10
15 E 20
15 D 33
15 C 42
15 B 49
16 G 2
16 F 14
16 E 19
16 D 30
16 C 41
16 B 55
17 A 8
17 B 20
17 C 33
17 D 43
17 E 50
17 F 54
17 G 59
18 A 45
18 B 53
18 C 63
18 D 70
18 E 75
18 F 84
19 A 41
19 B 49
19 C 56
19 D 62
19 E 76
19 F 89
20 A 27
20 B 38
20 C 50
20 D 54
20 E 63
20 F 67
20 G 77
21 A 31
21 B 39
21 C 46
21 D 49
21 E 56
21 F 61
21 G 73
22 A 47
22 B 52
22 C 58
22 D 63
22 E 69
22 F 78
22 G 89
23 A 66
23 B 72
23 C 85
23 D 91
24 A 71
24 B 79
24 C 89
24 D 95
25 A 57
25 B 67
25 C 78
25 D 82
25 E 89
26 A 51
26 B 61
26 C 68
26 D 75
26 E 87
27 A 62
27 B 73
27 C 85
28 A 64
28 B 78
28 C 89
28 D 94
29 A 77
29 B 91
30 A 82
30 B 90
31 A 79
31 B 86
31 C 92
32 H 7
32 G 13
32 F 25
32 E 35
32 D 46
32 C 51
32 B 65
33 H 9
33 G 23
33 F 35
33 E 41
33 D 50
33 C 59
33 B 72
34 H 10
34 G 16
34 F 28
34 E 38
34 D 50
34 C 59
34 B 69
