10
testcase10 320
207 111
4 E 2
5 F 2
6 F 3
1 E 5
3 E 6
2 D 7
0 E 7
5 E 7
6 E 7
4 D 8
1 F 9
23 H 9
3 F 10
6 D 12
0 F 12
5 D 13
7 A 14
1 G 14
23 G 14
4 C 17
6 C 17
0 G 17
2 E 19
23 F 19
22 H 19
5 C 20
3 G 20
9 A 21
7 B 22
4 B 22
6 B 22
10 A 23
2 F 23
9 B 24
22 G 24
8 A 25
5 B 25
10 B 26
7 C 27
2 G 28
11 A 29
9 C 29
23 E 29
22 F 29
26 H 29
8 B 30
25 H 30
10 C 31
7 D 32
9 D 34
26 G 34
11 B 35
23 D 35
22 E 35
25 G 35
10 D 36
13 A 37
14 A 37
12 A 37
7 E 37
24 H 37
9 E 39
8 C 40
23 C 40
25 F 40
13 B 41
12 B 41
22 D 41
26 F 41
9 F 43
14 B 44
10 E 44
7 F 44
23 B 45
8 D 45
11 C 46
13 C 46
22 C 46
25 E 48
26 E 48
9 G 48
24 G 48
14 C 49
7 G 49
22 B 51
13 D 51
8 E 51
12 C 52
10 F 52
11 D 53
25 D 53
26 D 53
24 F 53
14 D 54
8 F 55
13 E 56
12 D 57
24 E 57
25 C 58
26 C 58
11 E 59
14 E 59
13 F 60
8 G 60
24 D 62
12 E 62
25 B 63
26 B 63
11 F 63
14 F 63
10 G 64
16 A 65
15 A 65
13 G 65
12 F 66
28 H 66
24 C 67
15 B 68
11 G 68
14 G 68
27 H 68
17 A 69
16 B 70
12 G 71
28 G 71
19 A 72
24 B 72
15 C 73
27 G 73
32 H 73
31 H 74
20 A 76
28 F 76
16 C 78
27 F 78
32 G 78
19 B 79
31 G 79
28 E 80
30 H 82
15 D 83
16 D 83
32 F 83
20 B 84
31 F 84
29 H 84
17 B 85
28 D 85
27 E 86
19 C 87
32 E 87
30 G 87
15 E 88
16 E 88
31 E 88
29 G 89
28 C 90
17 C 91
27 D 91
19 D 92
32 D 92
16 F 92
30 F 92
15 F 94
29 F 94
28 B 95
27 C 96
17 D 96
31 D 96
30 E 96
20 C 97
32 C 97
16 G 97
29 E 98
15 G 99
18 A 101
27 B 101
31 C 101
30 D 101
17 E 101
21 A 102
32 B 102
19 E 102
20 D 103
29 D 103
18 B 104
17 F 105
33 H 105
31 B 106
30 C 106
29 C 108
34 H 108
18 C 109
20 E 109
21 B 110
17 G 110
33 G 110
30 B 111
19 F 112
29 B 113
20 F 113
34 G 113
33 F 115
18 D 118
34 F 118
20 G 118
19 G 119
A B 10 23 B
A B 11 22 B
A B 12 24 B
A B 13 25 B
A B 14 26 B
A B 15 27 B
A B 16 28 B
A B 17 32 B
A B 18 29 B
A B 19 31 B
A B 20 30 B
A B 21 -1 -1
A B 7 4 B
A B 9 5 B
B A 6 8 A
B C 11 22 C
B C 12 26 C
B C 13 25 C
B C 14 24 C
B C 15 28 C
B C 16 27 C
B C 17 30 C
B C 18 -1 -1
B C 19 32 C
B C 20 31 C
B C 21 -1 -1
B C 8 23 C
C B 29 -1 -1
C B 4 7 B
C B 5 10 B
C B 6 9 B
C D 12 28 D
C D 13 25 D
C D 14 24 D
C D 16 27 D
C D 17 31 D
C D 19 32 D
C D 20 29 D
D C 22 11 C
D C 23 8 C
D C 26 15 C
D C 30 18 C
D C 4 7 C
D C 5 10 C
D C 6 9 C
D E 12 28 E
D E 13 24 E
D E 15 31 E
D E 16 30 E
D E 18 -1 -1
E D 22 8 D
E D 23 10 D
E D 25 11 D
E D 26 14 D
E D 27 19 D
E D 29 20 D
E D 32 17 D
E D 4 2 D
E D 5 7 D
E D 6 9 D
E F 1 23 F
E F 11 32 F
E F 12 30 F
E F 13 27 F
E F 14 31 F
E F 15 29 F
E F 16 33 F
E F 17 34 F
E F 19 -1 -1
E F 2 22 F
E F 20 -1 -1
E F 7 26 F
E F 8 28 F
E F 9 24 F
F E 25 10 E
F E 5 3 E
F E 6 0 E
F G 0 26 G
F G 1 23 G
F G 10 27 G
F G 11 30 G
F G 12 33 G
F G 13 31 G
F G 14 29 G
F G 15 -1 -1
F G 16 34 G
F G 17 -1 -1
F G 19 -1 -1
F G 2 25 G
F G 20 -1 -1
F G 3 22 G
F G 7 28 G
F G 8 32 G
F G 9 24 G
G H 0 26 H
G H 10 32 H
G H 11 30 H
G H 12 33 H
G H 13 31 H
G H 14 29 H
G H 15 -1 -1
G H 16 34 H
G H 17 -1 -1
G H 19 -1 -1
G H 20 -1 -1
G H 3 25 H
G H 7 28 H
G H 8 27 H
H G 22 2 G
H G 23 1 G
H G 24 9 G
1674
testcase11 409
264 143
3 B 0
0 C 0
8 H 0
2 C 1
4 D 1
6 B 2
5 E 2
1 G 2
26 H 2
7 D 3
4 C 4
3 C 5
0 D 5
2 D 5
7 C 6
5 D 6
26 G 6
3 D 8
4 B 9
2 E 9
0 E 10
26 F 11
2 F 12
8 G 12
5 C 13
3 E 14
26 E 14
0 F 14
11 A 15
7 B 15
3 F 17
8 F 17
2 G 17
10 A 18
11 B 18
26 D 19
0 G 19
5 B 20
8 E 20
27 H 20
10 B 21
9 A 22
26 C 22
3 G 22
11 C 23
27 G 23
25 H 24
24 H 25
9 B 27
26 B 27
8 D 27
29 H 27
27 F 28
24 G 28
11 D 29
10 C 30
15 A 31
12 A 32
29 G 32
11 E 33
27 E 33
25 G 33
15 B 34
9 C 34
11 F 36
24 F 36
32 H 36
12 B 37
8 C 37
27 D 37
29 F 37
30 H 37
9 D 38
32 G 39
15 C 40
27 C 40
29 E 40
25 F 40
11 G 41
8 B 42
10 D 42
9 E 42
24 E 42
31 H 42
13 A 43
15 D 44
29 D 44
14 A 45
9 F 45
32 F 45
13 B 46
27 B 46
10 E 46
25 E 46
29 C 47
24 D 47
28 H 47
15 E 48
31 G 48
10 F 49
30 G 49
12 C 50
32 E 50
9 G 50
25 D 51
15 F 51
29 B 52
13 C 52
14 B 53
12 D 53
25 C 54
10 G 54
13 D 55
32 D 55
31 F 55
35 H 55
15 G 56
18 A 57
12 E 57
33 H 57
17 A 58
14 C 58
24 C 58
31 E 58
30 F 58
28 G 58
25 B 59
13 E 59
16 A 60
18 B 60
12 F 60
17 B 61
14 D 61
35 G 61
34 H 61
36 H 61
32 C 62
30 E 62
13 F 62
33 G 62
19 A 63
24 B 63
28 F 63
18 C 65
14 E 65
12 G 65
28 E 66
35 F 66
36 G 66
16 B 67
32 B 67
17 C 67
31 D 67
33 F 67
13 G 67
34 G 67
19 B 68
18 D 68
30 D 68
14 F 68
31 C 70
17 D 70
28 D 70
16 C 72
18 E 72
33 E 72
36 F 72
19 C 73
30 C 73
35 E 73
14 G 73
17 E 74
31 B 75
28 C 75
36 E 75
18 F 75
16 D 76
19 D 76
33 D 76
35 D 77
17 F 77
34 F 77
38 H 78
28 B 80
35 C 80
16 E 80
19 E 80
34 E 80
18 G 80
38 G 81
17 G 82
16 F 83
19 F 83
21 A 84
30 B 86
38 F 86
40 H 86
21 B 87
33 C 87
41 H 87
35 B 88
34 D 88
16 G 88
19 G 88
40 G 89
39 H 89
36 D 90
34 C 91
33 B 92
21 C 92
41 G 92
37 H 92
42 H 92
36 C 93
22 A 94
20 A 94
40 F 94
21 D 95
34 B 96
22 B 97
20 B 97
40 E 98
39 G 98
23 A 99
36 B 99
21 E 99
38 E 99
23 B 102
22 C 102
20 C 102
40 D 102
21 F 102
38 D 103
39 F 103
37 G 104
40 C 105
22 D 105
20 D 105
39 E 106
23 C 107
21 G 107
22 E 109
20 E 109
43 H 109
40 B 110
23 D 110
39 D 110
42 G 111
22 F 112
20 F 112
41 F 112
37 F 112
38 C 113
39 C 113
23 E 115
37 E 115
43 G 116
41 E 117
42 F 117
22 G 117
20 G 117
39 B 118
23 F 118
37 D 119
A B 13 27 B
A B 16 32 B
A B 17 24 B
B A 25 19 A
B A 26 12 A
B A 28 22 A
B A 29 18 A
B A 30 20 A
B A 31 21 A
B A 33 -1 -1
B A 34 -1 -1
B A 35 23 A
B A 36 -1 -1
B A 39 -1 -1
B A 4 10 A
B A 40 -1 -1
B A 5 15 A
B A 6 11 A
B A 7 9 A
B A 8 14 A
B C 12 29 C
B C 14 24 C
B C 15 27 C
B C 17 31 C
B C 19 30 C
B C 3 7 C
C B 25 18 B
C B 26 9 B
C B 28 21 B
C B 32 16 B
C B 33 20 B
C B 34 23 B
C B 35 22 B
C B 36 -1 -1
C B 38 -1 -1
C B 39 -1 -1
C B 4 11 B
C B 40 -1 -1
C B 5 10 B
C B 8 13 B
C D 0 7 D
C D 13 32 D
C D 15 29 D
C D 17 28 D
C D 18 30 D
C D 19 33 D
C D 2 5 D
C D 9 27 D
D C 24 12 C
D C 25 14 C
D C 26 11 C
D C 31 16 C
D C 34 22 C
D C 35 21 C
D C 36 20 C
D C 37 -1 -1
D C 38 -1 -1
D C 39 -1 -1
D C 4 3 C
D C 40 23 C
D C 8 10 C
D E 0 26 E
D E 10 25 E
D E 11 27 E
D E 12 31 E
D E 14 28 E
D E 17 36 E
D E 19 34 E
D E 2 8 E
D E 9 24 E
E D 29 15 D
E D 30 18 D
E D 32 13 D
E D 33 16 D
E D 35 21 D
E D 37 -1 -1
E D 38 20 D
E D 39 23 D
E D 40 22 D
E D 41 -1 -1
E D 5 3 D
E F 0 27 F
E F 11 24 F
E F 12 28 F
E F 2 8 F
F E 25 10 E
F E 26 3 E
F E 29 9 E
F E 30 14 E
F E 31 13 E
F E 32 15 E
F E 33 17 E
F E 34 19 E
F E 35 18 E
F E 36 16 E
F E 37 -1 -1
F E 38 21 E
F E 39 20 E
F E 40 22 E
F E 41 23 E
F E 42 -1 -1
F G 0 27 G
G F 24 11 F
G F 25 10 F
G F 26 2 F
G F 28 14 F
G F 29 9 F
G F 30 13 F
G F 31 12 F
G F 32 15 F
G F 33 17 F
G F 34 19 F
G F 35 18 F
G F 36 16 F
G F 37 -1 -1
G F 38 21 F
G F 39 23 F
G F 40 22 F
G F 41 20 F
G F 42 -1 -1
G F 43 -1 -1
G F 8 3 F
G H 1 27 H
G H 3 24 H
H G 25 11 G
H G 26 0 G
H G 28 13 G
H G 29 9 G
H G 30 15 G
H G 31 12 G
H G 32 10 G
H G 33 18 G
H G 34 17 G
H G 35 14 G
H G 36 16 G
H G 37 -1 -1
H G 38 19 G
H G 39 20 G
H G 40 21 G
H G 41 22 G
H G 42 -1 -1
H G 43 -1 -1
H G 8 2 G
1218
testcase12 398
260 136
11 D 0
6 A 1
8 B 1
14 D 1
15 G 1
9 B 2
4 E 2
5 G 2
36 H 2
1 C 3
13 D 3
10 E 3
0 F 3
35 H 3
11 C 4
12 E 4
2 G 4
8 C 6
14 C 6
13 C 6
1 D 6
3 F 6
4 F 6
15 F 6
16 G 7
32 H 7
17 A 8
7 B 8
10 D 8
0 G 8
36 G 8
6 B 9
11 B 9
8 D 9
33 H 9
15 E 10
14 B 11
13 B 11
1 E 11
3 G 11
4 G 11
35 G 11
12 D 12
17 B 13
7 C 13
10 C 13
36 F 13
34 H 13
6 C 14
8 E 14
33 G 14
12 C 15
15 D 15
1 F 15
16 F 15
7 D 16
6 D 17
36 E 17
35 F 17
10 B 18
17 C 18
15 C 19
8 F 19
33 F 19
1 G 20
12 B 21
7 E 21
32 G 21
6 E 22
33 E 23
34 G 23
15 B 24
36 D 24
38 H 24
35 E 25
7 F 26
6 F 26
32 F 26
20 A 27
36 C 27
17 D 28
33 D 28
8 G 28
38 G 29
32 E 30
21 A 31
33 C 31
35 D 31
16 E 31
20 B 32
36 B 32
6 G 32
17 E 33
34 F 33
40 H 33
32 D 35
21 B 36
33 B 36
16 D 36
7 G 36
42 H 36
20 C 37
17 F 37
32 C 38
40 G 38
39 H 38
16 C 39
20 D 40
19 A 41
21 C 41
37 H 41
35 C 42
38 F 42
17 G 42
32 B 43
34 E 43
16 B 44
21 D 44
18 A 45
20 E 45
19 B 46
22 A 47
35 B 47
21 E 49
20 F 49
40 F 49
39 G 49
18 B 50
26 A 51
19 C 51
34 D 51
38 E 51
42 G 51
22 B 52
45 H 52
40 E 53
21 F 53
37 G 53
19 D 54
39 F 54
20 G 54
18 C 55
26 B 56
42 F 56
25 A 57
22 C 57
34 C 58
18 D 58
40 D 58
37 F 58
21 G 58
45 G 58
19 E 59
41 H 59
22 D 60
42 E 60
26 C 61
38 D 61
27 A 62
25 B 62
40 C 62
43 H 62
34 B 63
18 E 63
37 E 63
19 F 63
28 A 64
26 D 64
42 D 65
22 E 65
45 F 65
23 A 66
38 C 66
27 B 67
25 C 67
18 F 67
41 G 67
40 B 68
42 C 68
37 D 68
19 G 68
28 B 69
26 E 69
22 F 69
25 D 70
44 H 70
24 A 71
23 B 71
38 B 71
37 C 71
27 C 72
45 E 72
48 H 72
42 B 73
26 F 73
28 C 74
18 G 74
47 H 74
27 D 75
25 E 75
22 G 75
44 G 75
24 B 76
37 B 76
23 C 76
29 A 77
28 D 77
45 D 77
41 F 78
26 G 78
43 G 78
48 G 78
31 A 79
39 E 79
25 F 79
45 C 80
44 F 80
49 H 80
24 C 81
27 E 81
47 G 81
30 A 82
29 B 82
28 E 82
41 E 82
43 F 83
23 D 84
39 D 84
25 G 84
46 H 84
31 B 85
45 B 85
27 F 85
48 F 85
49 G 85
28 F 86
29 C 87
24 D 87
44 E 87
39 C 88
41 D 88
43 E 88
23 E 89
30 B 90
31 C 90
48 E 90
27 G 90
47 F 91
29 D 92
24 E 92
46 G 92
39 B 93
31 D 93
23 F 93
28 G 93
41 C 94
30 C 95
48 D 96
47 E 96
24 F 96
A B 6 11 B
B A 10 19 A
B A 12 18 A
B A 13 21 A
B A 14 20 A
B A 15 22 A
B A 16 28 A
B A 32 27 A
B A 33 25 A
B A 34 24 A
B A 35 23 A
B A 36 26 A
B A 37 -1 -1
B A 38 31 A
B A 39 -1 -1
B A 40 29 A
B A 42 30 A
B A 45 -1 -1
B A 9 17 A
B C 30 -1 -1
B C 7 10 C
B C 8 14 C
C B 11 6 B
C B 12 20 B
C B 13 17 B
C B 15 21 B
C B 16 26 B
C B 32 22 B
C B 33 18 B
C B 34 27 B
C B 35 25 B
C B 36 19 B
C B 37 29 B
C B 38 23 B
