10
testcase10 314
204 108
2 D 1
6 F 1
5 F 3
1 E 5
4 E 6
3 E 7
6 E 7
0 E 8
5 E 8
1 F 9
23 H 9
6 D 12
0 F 12
4 D 13
5 D 14
1 G 14
23 G 14
3 F 15
6 C 17
0 G 17
4 C 18
2 E 19
23 F 19
5 C 20
22 H 20
3 G 21
7 A 22
6 B 22
4 B 23
2 F 23
23 E 24
9 A 25
7 B 25
5 B 25
22 G 25
8 A 26
9 B 28
2 G 28
8 B 29
23 D 29
26 H 29
7 C 30
22 F 30
25 H 30
10 A 33
9 C 33
8 C 34
26 G 34
23 C 35
7 D 35
22 E 35
25 G 35
24 H 37
13 A 38
9 D 38
8 D 39
10 B 40
23 B 40
7 E 40
25 F 40
14 A 41
13 B 41
22 D 42
24 G 42
11 A 44
12 A 44
14 B 44
9 E 44
7 F 44
26 F 44
10 C 45
13 C 46
11 B 47
12 B 47
22 C 47
24 F 47
26 E 48
9 F 48
14 C 49
7 G 49
10 D 50
13 D 51
8 E 51
22 B 52
11 C 52
12 C 52
25 E 52
24 E 52
26 D 53
14 D 54
13 E 56
11 D 57
12 D 57
25 D 57
24 D 57
26 C 58
14 E 59
8 F 59
13 F 60
25 C 62
24 C 62
10 E 62
11 E 62
12 E 62
26 B 63
14 F 63
8 G 64
13 G 65
10 F 66
11 F 66
12 F 66
25 B 67
24 B 67
14 G 68
9 G 69
28 H 69
16 A 70
27 H 70
10 G 71
11 G 71
12 G 71
15 A 72
16 B 73
32 H 73
28 G 74
31 H 74
15 B 75
27 G 75
16 C 78
32 G 78
28 F 79
31 G 79
15 C 80
27 F 80
19 A 82
30 H 82
17 A 83
16 D 83
28 E 83
32 F 83
31 F 84
29 H 84
15 D 85
27 E 85
17 B 86
20 A 87
32 E 87
30 G 87
28 D 88
16 E 88
31 E 88
29 G 89
27 D 90
15 E 90
17 C 91
32 D 92
16 F 92
30 F 92
28 C 93
31 D 93
19 B 94
20 B 94
15 F 94
29 F 94
27 C 95
17 D 96
30 E 96
32 C 97
16 G 97
28 B 98
29 E 98
19 C 99
20 C 99
31 C 99
15 G 99
27 B 100
30 D 101
17 E 101
32 B 102
29 D 103
31 B 104
19 D 104
20 D 104
17 F 105
33 H 105
30 C 106
29 C 108
34 H 108
20 E 109
19 E 110
17 G 110
33 G 110
30 B 111
29 B 113
20 F 113
34 G 113
19 F 114
33 F 115
18 A 116
34 F 118
20 G 118
21 A 119
18 B 119
19 G 119
A B 10 23 B
A B 11 25 B
A B 12 24 B
A B 13 22 B
A B 14 26 B
A B 15 27 B
A B 16 28 B
A B 17 31 B
A B 19 32 B
A B 20 30 B
A B 21 -1 -1
A B 7 5 B
B A 29 18 A
B A 4 8 A
B A 6 9 A
B C 11 25 C
B C 12 24 C
B C 13 22 C
B C 14 26 C
B C 15 27 C
B C 16 28 C
B C 17 32 C
B C 19 31 C
B C 20 30 C
C B 23 10 B
C B 29 18 B
C B 4 9 B
C B 5 8 B
