10
testcase10 313
203 108
5 F 1
4 E 3
6 F 3
1 E 5
3 E 7
6 E 7
2 D 8
0 E 8
1 F 9
23 H 9
6 D 12
5 E 12
0 F 12
4 D 13
1 G 14
23 G 14
6 C 17
3 F 17
0 G 17
4 C 18
2 E 19
23 F 19
22 H 19
5 D 20
7 A 21
6 B 22
3 G 22
4 B 23
23 E 23
2 F 23
7 B 24
22 G 24
9 A 25
5 C 25
8 A 26
9 B 28
2 G 28
7 C 29
22 F 29
26 H 29
8 B 30
5 B 30
23 D 30
25 H 30
9 C 33
7 D 34
26 G 34
8 C 35
23 C 35
25 G 35
10 A 37
13 A 37
11 A 37
14 A 37
12 A 37
22 E 37
24 H 37
9 D 38
7 E 39
10 B 40
23 B 40
8 D 40
26 F 40
13 B 41
22 D 42
25 F 43
14 B 44
9 E 44
7 F 44
10 C 45
13 C 46
11 B 47
12 B 47
22 C 47
8 E 47
26 E 48
25 E 48
14 C 49
7 G 49
24 G 49
10 D 50
13 D 51
22 B 52
11 C 52
12 C 52
26 D 53
14 D 54
24 F 54
13 E 56
8 F 56
11 D 57
12 D 57
25 D 57
26 C 58
24 E 58
10 E 59
14 E 59
13 F 60
8 G 61
25 C 62
11 E 62
12 E 62
26 B 63
24 D 63
9 F 63
10 F 63
14 F 63
16 A 65
15 A 65
13 G 65
11 F 66
12 F 66
28 H 66
25 B 67
24 C 68
9 G 68
10 G 68
14 G 68
27 H 70
11 G 71
12 G 71
28 G 71
16 B 73
24 B 73
32 H 73
31 H 74
15 B 75
27 G 75
17 A 76
19 A 76
20 A 76
28 F 76
16 C 78
32 G 78
31 G 79
15 C 80
28 E 80
27 F 80
30 H 82
16 D 83
32 F 83
27 E 84
31 F 84
29 H 84
15 D 85
28 D 85
17 B 86
30 G 87
16 E 88
32 E 88
27 D 89
29 G 89
28 C 90
15 E 90
31 E 90
17 C 91
16 F 92
30 F 92
20 B 94
27 C 94
15 F 94
29 F 94
19 B 95
28 B 95
32 D 95
17 D 96
31 D 96
16 G 97
30 E 98
29 E 98
27 B 99
20 C 99
15 G 99
19 C 100
32 C 100
31 C 101
17 E 101
29 D 103
20 D 104
30 D 104
32 B 105
19 D 105
17 F 105
33 H 105
31 B 106
29 C 108
34 H 108
20 E 109
19 E 110
17 G 110
33 G 110
30 C 111
29 B 113
20 F 113
34 G 113
19 F 114
33 F 115
30 B 116
34 F 118
20 G 118
18 A 119
21 A 119
19 G 119
A B 10 23 B
A B 11 26 B
A B 12 24 B
A B 13 22 B
A B 14 25 B
A B 15 27 B
A B 16 28 B
A B 17 32 B
A B 19 31 B
A B 20 29 B
A B 21 -1 -1
A B 7 5 B
B A 30 18 A
B A 4 8 A
B A 6 9 A
B C 11 25 C
B C 12 24 C
B C 13 22 C
B C 14 26 C
B C 15 27 C
B C 16 28 C
B C 17 32 C
B C 19 29 C
B C 20 31 C
C B 23 10 B
C B 30 -1 -1
C B 4 9 B
C B 5 8 B
C B 6 7 B
C D 11 25 D
C D 12 24 D
C D 13 26 D
C D 15 27 D
C D 16 28 D
C D 17 31 D
C D 20 30 D
D C 22 14 C
D C 23 10 C
D C 29 -1 -1
D C 32 19 C
D C 4 9 C
D C 5 8 C
D C 6 7 C
D E 12 28 E
D E 13 24 E
D E 15 31 E
D E 16 32 E
E D 22 10 D
E D 23 8 D
E D 25 11 D
E D 26 14 D
E D 27 17 D
E D 29 19 D
E D 30 20 D
E D 4 2 D
E D 5 9 D
E D 6 7 D
E F 0 23 F
E F 10 27 F
E F 11 31 F
E F 12 30 F
E F 13 28 F
E F 14 32 F
E F 15 33 F
E F 16 29 F
E F 17 34 F
E F 19 -1 -1
E F 2 22 F
E F 20 -1 -1
E F 7 25 F
E F 8 24 F
F E 26 9 E
F E 5 1 E
F E 6 3 E
F G 0 22 G
F G 1 23 G
F G 10 31 G
F G 11 29 G
F G 12 33 G
F G 13 27 G
F G 14 30 G
F G 15 -1 -1
F G 16 34 G
F G 17 -1 -1
F G 19 -1 -1
F G 2 25 G
F G 20 -1 -1
F G 3 26 G
F G 7 24 G
F G 8 28 G
F G 9 32 G
G H 0 26 H
G H 10 31 H
G H 11 29 H
G H 12 33 H
G H 13 27 H
G H 14 30 H
G H 15 -1 -1
G H 16 34 H
G H 17 -1 -1
G H 19 -1 -1
G H 20 -1 -1
G H 3 25 H
G H 8 28 H
G H 9 32 H
H G 22 2 G
H G 23 1 G
H G 24 7 G
1317
testcase11 405
262 141
0 C 0
4 D 1
3 B 2
2 C 2
1 G 2
8 H 2
26 H 2
6 B 3
7 D 3
4 C 4
2 D 5
3 C 7
7 C 7
0 D 7
26 G 7
4 B 9
2 E 9
5 E 9
0 E 11
2 F 12
26 F 12
5 D 13
11 A 15
26 E 15
0 F 15
3 D 16
2 G 17
10 A 18
11 B 18
26 D 19
5 C 20
0 G 20
8 G 20
27 H 20
7 B 21
10 B 22
26 C 22
11 C 23
9 A 24
5 B 25
8 F 25
11 D 26
9 B 27
26 B 27
10 C 27
29 H 27
8 E 28
27 G 28
3 E 30
11 E 30
15 A 31
10 D 31
25 H 31
12 A 32
9 C 32
8 D 32
29 G 32
3 F 33
27 F 33
15 B 34
8 C 35
10 E 35
27 E 36
12 B 37
11 F 37
29 F 37
10 F 38
3 G 38
25 G 38
24 H 38
9 D 39
28 H 39
27 D 40
29 E 40
24 G 41
8 B 42
12 C 42
11 G 42
13 A 43
27 C 43
9 E 43
25 F 43
10 G 43
28 G 43
29 D 44
14 A 45
15 C 45
13 B 46
12 D 46
25 E 46
9 F 46
24 F 46
29 C 47
27 B 48
15 D 48
32 H 49
31 H 49
25 D 50
12 E 50
24 E 50
13 C 51
9 G 51
14 B 52
29 B 52
25 C 53
12 F 53
28 F 53
31 G 53
24 D 54
15 E 54
28 E 56
18 A 57
17 A 58
24 C 58
15 F 58
31 F 58
12 G 58
32 G 58
25 B 59
14 C 59
13 D 59
33 H 60
30 H 61
35 H 61
34 H 61
36 H 61
16 A 62
17 B 62
14 D 62
28 D 62
19 A 63
18 B 63
24 B 63
13 E 63
31 E 63
32 F 63
15 G 63
33 G 64
16 B 65
14 E 66
32 E 66
13 F 66
30 G 66
17 C 67
28 C 67
31 D 67
19 B 68
14 F 69
33 F 69
18 C 70
31 C 70
17 D 70
32 D 70
35 G 70
30 F 71
13 G 71
34 G 71
28 B 72
16 C 72
19 C 73
32 C 73
18 D 73
17 E 74
33 E 74
30 E 74
14 G 74
31 B 75
35 F 75
19 D 76
17 F 77
32 B 78
16 D 78
33 D 78
30 D 78
18 E 78
35 E 78
36 G 79
19 E 80
34 F 80
30 C 81
18 F 81
35 D 82
17 G 82
16 E 83
34 E 83
19 F 83
21 A 84
36 F 84
39 H 84
35 C 85
30 B 86
16 F 86
18 G 86
40 H 86
21 B 87
36 E 87
34 D 88
19 G 88
33 C 89
38 H 89
35 B 90
40 G 90
36 D 91
16 G 91
21 C 92
34 C 92
22 A 94
20 A 94
33 B 94
36 C 94
21 D 95
40 F 95
22 B 97
20 B 97
34 B 97
40 E 98
39 G 98
23 A 99
36 B 99
21 E 99
23 B 102
22 C 102
20 C 102
40 D 102
21 F 102
38 G 102
39 F 103
37 H 104
40 C 105
22 D 105
20 D 106
39 E 106
23 C 107
38 F 107
21 G 107
37 G 107
41 H 107
22 E 109
40 B 110
23 D 110
39 D 110
20 E 110
38 E 110
41 G 110
42 H 111
22 F 112
37 F 112
39 C 113
20 F 113
38 D 114
42 G 114
23 E 115
37 E 115
41 F 115
38 C 117
22 G 117
39 B 118
41 E 118
23 F 118
20 G 118
37 D 119
42 F 119
A B 13 27 B
A B 17 24 B
A B 19 28 B
B A 25 16 A
B A 26 12 A
B A 29 18 A
B A 30 20 A
B A 31 21 A
B A 32 22 A
B A 33 -1 -1
B A 34 -1 -1
B A 35 23 A
B A 36 -1 -1
B A 39 -1 -1
B A 4 10 A
B A 40 -1 -1
B A 5 15 A
B A 6 11 A
B A 7 9 A
B A 8 14 A
B C 10 8 C
B C 12 27 C
B C 13 25 C
B C 16 31 C
B C 17 28 C
B C 19 32 C
B C 3 7 C
C B 24 18 B
C B 26 15 B
