10
testcase10 317
206 109
4 E 0
6 F 3
2 D 5
4 D 5
1 E 5
3 E 7
6 E 7
0 E 8
1 F 9
5 F 9
4 C 10
6 D 12
0 F 12
7 A 13
1 G 14
23 H 14
4 B 15
5 E 15
7 B 16
6 C 17
3 F 17
0 G 17
2 E 19
23 G 19
22 H 19
9 A 20
5 D 20
7 C 21
6 B 22
3 G 22
9 B 23
2 F 23
23 F 24
22 G 24
5 C 25
10 A 26
7 D 26
9 C 28
2 G 28
23 E 29
22 F 29
26 H 29
10 B 30
5 B 30
9 D 33
25 H 33
26 G 34
10 C 35
23 D 35
8 A 37
22 E 37
13 A 38
25 G 38
8 B 40
10 D 40
7 E 40
24 H 40
14 A 41
13 B 41
23 C 42
22 D 42
11 A 44
12 A 44
14 B 44
7 F 44
26 F 44
25 F 44
8 C 45
13 C 46
11 B 47
12 B 47
23 B 47
22 C 47
24 G 47
9 E 48
26 E 48
14 C 49
7 G 49
8 D 50
13 D 51
25 E 51
22 B 52
11 C 52
12 C 52
9 F 52
24 F 52
26 D 53
14 D 54
8 E 55
10 E 56
13 E 56
24 E 56
11 D 57
12 D 57
25 D 57
26 C 58
14 E 59
8 F 59
13 F 60
24 D 61
10 F 61
25 C 62
11 E 62
12 E 62
26 B 63
14 F 63
8 G 64
13 G 65
24 C 66
11 F 66
12 F 66
25 B 67
14 G 68
9 G 69
28 H 69
16 A 70
27 H 70
24 B 71
10 G 71
11 G 71
12 G 71
15 A 72
16 B 73
32 H 73
28 G 74
31 H 74
15 B 75
27 G 75
16 C 78
32 G 78
28 F 79
31 G 79
15 C 80
27 F 80
30 H 82
17 A 83
16 D 83
28 E 83
32 F 83
31 F 84
29 H 84
15 D 85
17 B 86
27 E 86
30 G 87
28 D 88
16 E 88
32 E 88
29 G 89
15 E 90
31 E 90
20 A 91
17 C 91
27 D 91
19 A 92
16 F 92
30 F 92
28 C 93
20 B 94
32 D 94
15 F 94
29 F 94
19 B 95
31 D 95
27 C 96
17 D 96
30 E 96
16 G 97
28 B 98
29 E 98
18 A 99
20 C 99
32 C 99
15 G 99
19 C 100
31 C 100
27 B 101
30 D 101
17 E 101
29 D 103
32 B 104
20 D 104
31 B 105
19 D 105
17 F 105
33 H 105
30 C 106
21 A 107
29 C 108
34 H 108
20 E 109
19 E 110
17 G 110
33 G 110
30 B 111
21 B 112
18 B 113
29 B 113
20 F 113
34 G 113
19 F 114
33 F 115
21 C 117
34 F 118
20 G 118
19 G 119
A B 10 5 B
A B 11 25 B
A B 12 24 B
A B 13 22 B
A B 14 26 B
A B 15 27 B
A B 16 28 B
A B 17 32 B
A B 18 29 B
A B 19 30 B
A B 20 31 B
A B 21 -1 -1
A B 7 6 B
A B 8 23 B
